,decade,month,planted_count,planted_avg_yr,month_name
0,1973-1979,1,8,1.1428571428571428,January
1,1973-1979,2,7,1.0,February
2,1973-1979,3,12,1.7142857142857142,March
3,1973-1979,4,8,1.1428571428571428,April
4,1973-1979,5,8,1.1428571428571428,May
5,1973-1979,6,15,2.142857142857143,June
6,1973-1979,7,16,2.2857142857142856,July
7,1973-1979,8,37,5.285714285714286,August
8,1973-1979,9,6,0.8571428571428571,September
9,1973-1979,10,24,3.4285714285714284,October
10,1973-1979,11,11,1.5714285714285714,November
11,1973-1979,12,4,0.5714285714285714,December
12,1980-1989,1,30,3.0,January
13,1980-1989,2,40,4.0,February
14,1980-1989,3,37,3.7,March
15,1980-1989,4,58,5.8,April
16,1980-1989,5,36,3.6,May
17,1980-1989,6,22,2.2,June
18,1980-1989,7,52,5.2,July
19,1980-1989,8,58,5.8,August
20,1980-1989,9,50,5.0,September
21,1980-1989,10,53,5.3,October
22,1980-1989,11,35,3.5,November
23,1980-1989,12,29,2.9,December
24,1990-1999,1,230,23.0,January
25,1990-1999,2,205,20.5,February
26,1990-1999,3,206,20.6,March
27,1990-1999,4,246,24.6,April
28,1990-1999,5,270,27.0,May
29,1990-1999,6,270,27.0,June
30,1990-1999,7,166,16.6,July
31,1990-1999,8,153,15.3,August
32,1990-1999,9,91,9.1,September
33,1990-1999,10,173,17.3,October
34,1990-1999,11,172,17.2,November
35,1990-1999,12,188,18.8,December
36,2000-2009,1,298,29.8,January
37,2000-2009,2,391,39.1,February
38,2000-2009,3,485,48.5,March
39,2000-2009,4,347,34.7,April
40,2000-2009,5,197,19.7,May
41,2000-2009,6,259,25.9,June
42,2000-2009,7,401,40.1,July
43,2000-2009,8,135,13.5,August
44,2000-2009,9,97,9.7,September
45,2000-2009,10,125,12.5,October
46,2000-2009,11,174,17.4,November
47,2000-2009,12,332,33.2,December
48,2010-2019,1,245,24.5,January
49,2010-2019,2,231,23.1,February
50,2010-2019,3,279,27.9,March
51,2010-2019,4,180,18.0,April
52,2010-2019,5,180,18.0,May
53,2010-2019,6,200,20.0,June
54,2010-2019,7,182,18.2,July
55,2010-2019,8,144,14.4,August
56,2010-2019,9,153,15.3,September
57,2010-2019,10,307,30.7,October
58,2010-2019,11,197,19.7,November
59,2010-2019,12,214,21.4,December
60,2020-2022,1,58,19.333333333333332,January
61,2020-2022,2,42,14.0,February
62,2020-2022,3,38,12.666666666666666,March
63,2020-2022,4,36,12.0,April
64,2020-2022,5,13,4.333333333333333,May
65,2020-2022,6,54,18.0,June
66,2020-2022,7,28,9.333333333333334,July
67,2020-2022,8,36,12.0,August
68,2020-2022,9,28,9.333333333333334,September
69,2020-2022,10,20,6.666666666666667,October
70,2020-2022,11,31,10.333333333333334,November
71,2020-2022,12,29,9.666666666666666,December
