,year,planted_count
0,1973,51
1,1974,24
2,1975,4
3,1976,19
4,1977,25
5,1978,10
6,1979,23
7,1980,49
8,1981,37
9,1982,57
10,1983,36
11,1984,46
12,1985,67
13,1986,64
14,1987,39
15,1988,42
16,1989,63
17,1990,193
18,1991,93
19,1992,213
20,1993,179
21,1994,159
22,1995,454
23,1996,205
24,1997,257
25,1998,429
26,1999,188
27,2000,370
28,2001,193
29,2002,237
30,2003,247
31,2004,131
32,2005,244
33,2006,430
34,2007,424
35,2008,708
36,2009,257
37,2010,153
38,2011,224
39,2012,160
40,2013,159
41,2014,237
42,2015,418
43,2016,355
44,2017,342
45,2018,285
46,2019,179
47,2020,205
48,2021,206
49,2022,2
